epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.004,0.9584,2.64296,1.22285,0.01429,0.90909,0.24342,0.16078,0.69287,2.73574,1.02367,0,0,0
2,27.8713,0.87971,2.54355,1.1157,0.01476,0.93939,0.28125,0.18735,0.71361,2.73056,1.03377,1.9604e-05,1.9604e-05,1.9604e-05
3,36.6545,0.84439,2.62108,1.15076,0.01524,0.9697,0.356,0.24673,0.74431,2.72922,1.03705,3.8416e-05,3.8416e-05,3.8416e-05
4,44.4894,0.92141,2.63633,1.17974,0.01524,0.9697,0.44252,0.29227,0.80047,2.73945,1.04727,5.6436e-05,5.6436e-05,5.6436e-05
5,55.1299,0.73454,2.50606,1.08738,0.01571,1,0.54702,0.33331,0.84667,2.74248,1.05603,7.3664e-05,7.3664e-05,7.3664e-05
6,73.4112,0.77864,2.28575,1.13864,0.01571,1,0.60091,0.36087,0.87526,2.74669,1.08033,9.01e-05,9.01e-05,9.01e-05
7,111.322,0.91132,2.40418,1.17164,0.01571,1,0.63754,0.36991,0.88705,2.74864,1.09786,0.000105744,0.000105744,0.000105744
8,131.036,0.70517,2.06584,1.0585,0.01571,1,0.63053,0.35651,0.90756,2.738,1.11239,0.000120596,0.000120596,0.000120596
9,145.737,0.61773,1.70801,0.98047,0.01571,1,0.61116,0.35097,0.92325,2.72035,1.12859,0.000134656,0.000134656,0.000134656
10,153.365,0.79032,1.81485,1.08086,0.01571,1,0.63422,0.36034,0.94165,2.68173,1.14428,0.000147924,0.000147924,0.000147924
11,161.889,0.761,1.58744,1.09112,0.01571,1,0.63751,0.36277,0.95243,2.62454,1.1581,0.0001604,0.0001604,0.0001604
12,168.564,0.66604,1.44008,1.02292,0.01571,1,0.67684,0.40857,0.95612,2.57139,1.15339,0.000172084,0.000172084,0.000172084
13,177.288,0.67121,1.20727,1.01956,0.0843,0.81818,0.66499,0.40291,0.95886,2.49981,1.15478,0.000182976,0.000182976,0.000182976
14,184.502,0.59863,1.13623,0.99796,1,0.41194,0.67001,0.41599,0.93374,2.44664,1.14439,0.000193076,0.000193076,0.000193076
15,191.851,0.74003,1.31014,1.07902,1,0.20586,0.68335,0.42298,0.91486,2.40113,1.15631,0.000202384,0.000202384,0.000202384
16,198.025,0.69726,1.58487,1.09652,1,0.29324,0.67185,0.42975,0.89965,2.37276,1.14991,0.0002109,0.0002109,0.0002109
17,207.556,0.65996,1.62629,1.15331,0.91997,0.34895,0.64287,0.43764,0.89948,2.36273,1.13755,0.000218624,0.000218624,0.000218624
18,214.48,0.55191,1.07358,0.9557,0.91997,0.34895,0.64287,0.43764,0.89948,2.36273,1.13755,0.000225556,0.000225556,0.000225556
19,225.061,0.68494,1.31215,1.05827,0.92061,0.352,0.67153,0.43627,0.91573,2.35605,1.14289,0.000231696,0.000231696,0.000231696
20,644.848,0.48172,0.95201,0.89315,0.92061,0.352,0.67153,0.43627,0.91573,2.35605,1.14289,0.000237044,0.000237044,0.000237044
21,656.316,0.61895,0.92014,0.97548,0.92201,0.3586,0.70754,0.43015,0.96355,2.3565,1.15817,0.0002416,0.0002416,0.0002416
22,713.621,0.74863,1.07934,1.06363,0.92201,0.3586,0.70754,0.43015,0.96355,2.3565,1.15817,0.000245364,0.000245364,0.000245364
23,3376.84,0.62055,0.90822,0.99959,0.93017,0.40411,0.72066,0.44727,0.99428,2.35391,1.16963,0.000248336,0.000248336,0.000248336
24,3391.06,0.68537,0.98611,0.99842,0.93017,0.40411,0.72066,0.44727,0.99428,2.35391,1.16963,0.000250516,0.000250516,0.000250516
25,3435.77,0.56924,0.91627,1.02125,0.94343,0.39394,0.71428,0.45037,0.99839,2.33894,1.15537,0.000251904,0.000251904,0.000251904
26,6461.09,0.67748,1.07857,0.98426,0.94343,0.39394,0.71428,0.45037,0.99839,2.33894,1.15537,0.0002525,0.0002525,0.0002525
27,6471.83,0.65271,0.95779,1.05462,1,0.41395,0.74706,0.47465,0.98483,2.34008,1.14276,0.000252304,0.000252304,0.000252304
28,6486.76,0.51002,0.8696,0.93524,1,0.41395,0.74706,0.47465,0.98483,2.34008,1.14276,0.000251316,0.000251316,0.000251316
29,6499.87,0.50723,1.03673,0.99939,1,0.41802,0.74722,0.47716,0.97646,2.33778,1.14761,0.000249536,0.000249536,0.000249536
30,6528.91,0.51379,0.89503,0.9604,1,0.41802,0.74722,0.47716,0.97646,2.33778,1.14761,0.000246964,0.000246964,0.000246964
31,6724.46,0.62466,0.81649,0.95028,0.9977,0.45455,0.71587,0.47817,0.99761,2.3288,1.15438,0.0002436,0.0002436,0.0002436
32,6772.25,0.52218,0.81246,0.95714,0.9977,0.45455,0.71587,0.47817,0.99761,2.3288,1.15438,0.000239444,0.000239444,0.000239444
33,6896.19,0.54439,0.90035,0.98129,0.94839,0.45455,0.71615,0.49374,0.99325,2.30029,1.15128,0.000234496,0.000234496,0.000234496
34,6940.63,0.58026,0.83464,0.95036,0.94839,0.45455,0.71615,0.49374,0.99325,2.30029,1.15128,0.000228756,0.000228756,0.000228756
35,6960.66,0.48292,0.75226,0.91612,0.94912,0.45455,0.73725,0.48456,0.98915,2.2783,1.14627,0.000222224,0.000222224,0.000222224
36,6984.13,0.62469,1.03315,1.069,0.94912,0.45455,0.73725,0.48456,0.98915,2.2783,1.14627,0.0002149,0.0002149,0.0002149
37,7039.59,0.48719,0.89798,0.94824,0.94085,0.48217,0.747,0.5178,0.98529,2.23607,1.1464,0.000206784,0.000206784,0.000206784
38,7496.07,0.44752,0.74712,0.90257,0.94085,0.48217,0.747,0.5178,0.98529,2.23607,1.1464,0.000197876,0.000197876,0.000197876
39,7565.59,0.52399,0.79782,0.94563,0.94666,0.53813,0.77039,0.53434,0.98757,2.18526,1.16163,0.000188176,0.000188176,0.000188176
40,7833.97,0.5428,0.77044,0.97315,0.94666,0.53813,0.77039,0.53434,0.98757,2.18526,1.16163,0.000177684,0.000177684,0.000177684
41,7857.14,0.38579,0.87607,0.85347,0.92684,0.54545,0.77667,0.54019,0.98595,2.13578,1.17248,0.0001664,0.0001664,0.0001664
42,7868.69,0.51562,0.94242,0.95662,0.92684,0.54545,0.77667,0.54019,0.98595,2.13578,1.17248,0.000154324,0.000154324,0.000154324
43,7881.86,0.52456,0.95327,0.92775,0.91608,0.54545,0.77449,0.53935,0.97644,2.09758,1.16611,0.000141456,0.000141456,0.000141456
44,7902.87,0.49842,0.99606,0.85817,0.91608,0.54545,0.77449,0.53935,0.97644,2.09758,1.16611,0.000127796,0.000127796,0.000127796
45,10433,0.39604,0.83504,0.89485,0.91987,0.54545,0.77253,0.54285,0.98668,2.0812,1.17001,0.000113344,0.000113344,0.000113344
46,10444.7,0.4548,0.88981,0.95793,0.91987,0.54545,0.77253,0.54285,0.98668,2.0812,1.17001,9.81e-05,9.81e-05,9.81e-05
47,10467.4,0.43631,0.91274,0.9569,0.93394,0.54545,0.78711,0.53022,0.98641,2.07549,1.17115,8.2064e-05,8.2064e-05,8.2064e-05
48,10480.3,0.38215,0.79579,0.873,0.93394,0.54545,0.78711,0.53022,0.98641,2.07549,1.17115,6.5236e-05,6.5236e-05,6.5236e-05
