epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5102,1.536,3.36373,1.33701,0.74173,0.16882,0.28979,0.16888,1.42479,2.95871,1.22043,0.000252328,0.000252328,0.000252328
2,184.522,1.44658,1.94441,1.23097,0.38991,0.56425,0.39528,0.21825,1.54861,2.43549,1.29671,0.00049859,0.00049859,0.00049859
3,274.704,1.44316,1.71695,1.25945,0.4437,0.55573,0.42938,0.23058,1.62678,2.34152,1.28448,0.000734701,0.000734701,0.000734701
4,368.198,1.43761,1.61982,1.2424,0.48133,0.51335,0.48337,0.27399,1.43034,1.83454,1.21282,0.000723321,0.000723321,0.000723321
5,461.036,1.39282,1.50285,1.21072,0.53172,0.4746,0.49526,0.27868,1.51296,1.57301,1.24313,0.000708095,0.000708095,0.000708095
6,554.316,1.39282,1.48672,1.22367,0.58244,0.4762,0.50705,0.27959,1.4852,1.60127,1.23236,0.000692869,0.000692869,0.000692869
7,647.117,1.37368,1.43657,1.17976,0.51334,0.51936,0.48942,0.27883,1.41956,1.56073,1.19994,0.000677643,0.000677643,0.000677643
8,739.932,1.36091,1.3976,1.19782,0.50743,0.48254,0.51251,0.29493,1.30661,1.46776,1.17286,0.000662417,0.000662417,0.000662417
9,832.934,1.32805,1.35617,1.16826,0.60866,0.55621,0.54069,0.3147,1.36508,1.41896,1.18764,0.00064719,0.00064719,0.00064719
10,926.08,1.31218,1.30359,1.17584,0.60732,0.54208,0.51758,0.30411,1.47738,1.44866,1.19464,0.000631964,0.000631964,0.000631964
11,1018.91,1.29523,1.31485,1.15432,0.56444,0.52505,0.53867,0.31233,1.434,1.37223,1.21911,0.000616738,0.000616738,0.000616738
12,1111.54,1.29946,1.29057,1.16437,0.66515,0.51654,0.54776,0.32246,1.39331,1.32365,1.17894,0.000601512,0.000601512,0.000601512
13,1205.34,1.25895,1.25446,1.14056,0.6084,0.50696,0.57217,0.32571,1.39877,1.29634,1.18083,0.000586286,0.000586286,0.000586286
14,1293.13,1.26103,1.22044,1.13791,0.59914,0.60735,0.57473,0.31573,1.41188,1.33241,1.1705,0.000571059,0.000571059,0.000571059
15,1382,1.24661,1.17975,1.12128,0.5428,0.55536,0.53771,0.31997,1.36756,1.41075,1.18167,0.000555833,0.000555833,0.000555833
16,1481.03,1.24408,1.1721,1.13566,0.58942,0.50408,0.53533,0.3129,1.41959,1.30306,1.18169,0.000540607,0.000540607,0.000540607
17,1574.19,1.2206,1.16185,1.12809,0.55365,0.59769,0.56257,0.33801,1.33879,1.22106,1.17256,0.000525381,0.000525381,0.000525381
18,1663.45,1.19815,1.10621,1.10207,0.59332,0.5321,0.54705,0.31433,1.33014,1.25823,1.16475,0.000510155,0.000510155,0.000510155
19,1752.91,1.20769,1.10932,1.11615,0.63385,0.57871,0.59496,0.34146,1.35334,1.23806,1.16895,0.000494928,0.000494928,0.000494928
20,1842.33,1.19465,1.09333,1.10035,0.58963,0.54032,0.55039,0.31351,1.35073,1.2629,1.15589,0.000479702,0.000479702,0.000479702
21,1948.98,1.20068,1.08283,1.10285,0.6395,0.58514,0.54787,0.32379,1.40345,1.3017,1.17496,0.000464476,0.000464476,0.000464476
22,2087.86,1.1998,1.06142,1.09788,0.55505,0.58777,0.56178,0.32907,1.39407,1.25896,1.18701,0.00044925,0.00044925,0.00044925
23,2218.49,1.18592,1.06376,1.09474,0.60044,0.6176,0.58684,0.34168,1.35357,1.27678,1.17353,0.000434024,0.000434024,0.000434024
24,2348.51,1.15803,1.03406,1.09054,0.65132,0.52381,0.55669,0.32856,1.34446,1.21384,1.16538,0.000418797,0.000418797,0.000418797
25,2477.06,1.16799,1.02197,1.09247,0.59187,0.59335,0.56755,0.35444,1.28488,1.20132,1.14837,0.000403571,0.000403571,0.000403571
26,2605.43,1.14377,0.99588,1.08056,0.59216,0.5612,0.58061,0.35109,1.32921,1.20112,1.16697,0.000388345,0.000388345,0.000388345
27,2735.93,1.12854,0.98722,1.07136,0.60925,0.60246,0.57818,0.34436,1.27684,1.28602,1.16623,0.000373119,0.000373119,0.000373119
28,2865.79,1.12487,0.98722,1.07859,0.60787,0.59324,0.59214,0.35171,1.32307,1.15172,1.16624,0.000357893,0.000357893,0.000357893
29,2994.4,1.12577,0.96933,1.0625,0.62401,0.56728,0.56327,0.33715,1.33484,1.18112,1.15778,0.000342666,0.000342666,0.000342666
30,3124.22,1.11644,0.96029,1.06221,0.57722,0.56925,0.5722,0.34627,1.28737,1.17317,1.16853,0.00032744,0.00032744,0.00032744
31,3253.13,1.10891,0.94387,1.06503,0.68237,0.49097,0.56354,0.33818,1.33302,1.15455,1.16783,0.000312214,0.000312214,0.000312214
32,3381.88,1.10301,0.9349,1.06255,0.5951,0.5381,0.55925,0.34137,1.30417,1.17913,1.16333,0.000296988,0.000296988,0.000296988
33,3511.07,1.0832,0.92361,1.05483,0.64117,0.63424,0.60643,0.36185,1.30516,1.17062,1.15799,0.000281762,0.000281762,0.000281762
34,3643.22,1.08735,0.88742,1.05743,0.61745,0.58949,0.60005,0.35467,1.2944,1.10257,1.15557,0.000266535,0.000266535,0.000266535
35,3773.76,1.08751,0.90773,1.05913,0.63849,0.59838,0.60432,0.35927,1.30834,1.11002,1.16809,0.000251309,0.000251309,0.000251309
36,3905.26,1.09119,0.87686,1.04826,0.65636,0.55358,0.60201,0.35423,1.29641,1.11373,1.15428,0.000236083,0.000236083,0.000236083
37,4035.63,1.06489,0.8692,1.04427,0.67682,0.54987,0.60245,0.36472,1.2962,1.09584,1.16633,0.000220857,0.000220857,0.000220857
38,4170.29,1.08458,0.867,1.05439,0.68611,0.55412,0.59161,0.34786,1.33296,1.11608,1.1595,0.000205631,0.000205631,0.000205631
39,4302.03,1.07521,0.8458,1.04786,0.61239,0.62768,0.57957,0.34039,1.35062,1.11746,1.16987,0.000190404,0.000190404,0.000190404
40,4434.45,1.04807,0.82194,1.03168,0.64169,0.59633,0.60462,0.35424,1.36465,1.10528,1.16093,0.000175178,0.000175178,0.000175178
41,4566.34,1.03668,0.91733,1.03774,0.55705,0.57104,0.55813,0.33738,1.36697,1.19756,1.17625,0.000159952,0.000159952,0.000159952
42,4694.3,0.99595,0.80825,1.02734,0.60468,0.60402,0.57702,0.34214,1.39478,1.1339,1.17787,0.000144726,0.000144726,0.000144726
43,4822.53,1.00759,0.79625,1.02892,0.67664,0.53112,0.58343,0.34275,1.39248,1.12513,1.17546,0.0001295,0.0001295,0.0001295
44,4950.88,0.991,0.78868,1.02125,0.61837,0.57745,0.58754,0.3456,1.40534,1.10678,1.17951,0.000114273,0.000114273,0.000114273
45,5081.06,0.96482,0.75043,1.00859,0.62916,0.57328,0.58532,0.34905,1.3741,1.0951,1.16481,9.90472e-05,9.90472e-05,9.90472e-05
46,5209.64,0.96093,0.74805,1.00178,0.6564,0.58303,0.59266,0.35186,1.39862,1.12459,1.17258,8.3821e-05,8.3821e-05,8.3821e-05
47,5332.81,0.97253,0.7465,1.01151,0.66445,0.5672,0.59532,0.35343,1.34227,1.11768,1.1677,6.85948e-05,6.85948e-05,6.85948e-05
48,5472.55,0.94881,0.72662,0.98728,0.64092,0.59268,0.59069,0.35048,1.33911,1.12155,1.16559,5.33686e-05,5.33686e-05,5.33686e-05
49,5613.17,0.93049,0.70312,0.99209,0.66099,0.57996,0.59679,0.35049,1.36794,1.11058,1.16779,3.81424e-05,3.81424e-05,3.81424e-05
50,5737.48,0.92286,0.68247,0.98991,0.67147,0.57331,0.59861,0.35339,1.36008,1.0966,1.16617,2.29162e-05,2.29162e-05,2.29162e-05
